velocidad_bala,distancia_bala1,bala2_y,distancia_bala2,mov_derecha,accion
-8,119,183,21,1,2
-8,108,186,24,1,2
-8,97,189,27,1,2
-8,86,192,30,1,2
-8,78,195,30,1,2
-8,70,198,30,1,2
-8,62,201,30,1,3
-8,54,204,30,1,3
-8,46,207,30,1,3
-8,38,210,30,1,3
-8,30,213,30,1,3
-8,22,216,30,1,3
-8,14,219,30,1,3
-8,6,222,30,1,3
-8,2,225,30,1,3
-8,10,228,30,1,3
-8,18,231,30,1,3
-8,26,234,30,1,3
-8,34,237,30,1,3
-8,42,240,30,1,3
-8,50,243,30,1,3
-8,58,246,30,1,3
-8,66,249,30,1,3
-8,74,252,30,1,3
-3,670,255,30,1,3
-3,667,258,30,1,3
-3,664,261,30,1,3
-3,661,264,30,1,3
-3,658,267,30,1,3
-3,655,270,30,1,3
-3,652,273,30,1,3
-3,649,276,30,1,3
-3,646,279,30,1,3
-3,643,282,30,1,3
-3,640,285,30,1,3
-3,637,288,30,1,3
-3,634,291,30,1,2
-3,631,294,30,1,2
-3,628,297,30,1,2
-3,625,300,30,1,2
-3,622,303,30,1,2
-3,619,306,30,1,2
-3,616,309,30,1,2
-3,613,312,30,1,2
-3,610,315,30,1,2
-3,607,318,30,1,2
-3,604,321,30,1,2
-3,601,324,30,1,2
-3,598,327,30,1,2
-3,595,330,30,1,2
-3,592,333,30,1,2
-3,589,336,30,1,2
-3,586,339,30,1,2
-3,583,342,30,1,2
-3,580,345,30,1,2
-3,577,348,30,1,2
-3,577,351,27,0,0
-3,577,354,24,0,0
-3,577,357,21,0,0
-3,577,360,18,0,0
-3,577,363,15,0,0
-3,577,366,12,0,0
-3,577,369,9,0,0
-3,577,372,6,0,0
-3,577,375,3,0,0
-3,577,378,0,0,0
-3,574,381,0,0,0
-3,571,384,0,0,0
-3,568,387,0,0,0
-3,565,390,0,0,0
-3,562,393,0,0,0
-3,559,396,0,0,0
-3,556,399,0,0,0
-3,553,0,0,0,0
-3,550,3,0,0,0
-3,547,6,0,0,0
-3,544,9,0,0,0
-3,541,12,0,0,0
-3,538,15,0,0,0
-3,535,18,0,0,0
-3,532,21,0,0,0
-3,529,24,0,0,0
-3,526,27,0,0,0
-3,523,30,0,0,0
-3,520,33,0,0,0
-3,517,36,0,0,0
-3,514,39,0,0,0
-3,511,42,0,0,0
-3,508,45,0,0,0
-3,505,48,0,0,0
-3,502,51,0,0,0
-3,499,54,0,0,0
-3,496,57,0,0,0
-3,493,60,0,0,0
-3,490,63,0,0,0
-3,487,66,0,0,0
-3,484,69,0,0,0
-3,481,72,0,0,0
-3,478,75,0,0,0
-3,475,78,0,0,0
-3,472,81,0,0,0
-3,469,84,0,0,0
-3,466,87,0,0,0
-3,463,90,0,0,0
-3,460,93,0,0,0
-3,457,96,0,0,0
-3,454,99,0,0,0
-3,451,102,0,0,0
-3,448,105,0,0,0
-3,445,108,0,0,0
-3,442,111,0,0,0
-3,439,114,0,0,0
-3,436,117,0,0,0
-3,433,120,0,0,0
-3,430,123,0,0,0
-3,427,126,0,0,0
-3,424,129,0,0,0
-3,421,132,0,0,0
-3,418,135,0,0,0
-3,415,138,0,0,0
-3,412,141,0,0,0
-3,409,144,0,0,0
-3,406,147,0,0,0
-3,403,150,0,0,0
-3,400,153,0,0,0
-3,397,156,0,0,0
-3,394,159,0,0,0
-3,391,162,0,0,0
-3,388,165,0,0,0
-3,385,168,0,0,0
-3,382,171,0,0,0
-3,379,174,0,0,0
-3,376,177,0,0,0
-3,373,180,0,0,0
-3,370,183,0,0,0
-3,367,186,0,0,0
-3,364,189,0,0,0
-3,361,192,0,0,0
-3,358,195,0,0,0
-3,355,198,0,0,0
-3,352,201,0,0,0
-3,349,204,0,0,0
-3,346,207,0,0,0
-3,343,210,0,0,0
-3,340,213,0,0,0
-3,337,216,0,0,0
-3,334,219,0,0,0
-3,331,222,0,0,0
-3,328,225,0,0,0
-3,325,228,0,0,0
-3,322,231,0,0,0
-3,319,234,0,0,0
-3,316,237,0,0,0
-3,313,240,0,0,0
-3,310,243,0,0,0
-3,307,246,0,0,0
-3,304,249,0,0,0
-3,301,252,0,0,0
-3,298,255,0,0,0
-3,295,258,0,0,0
-3,289,261,3,1,2
-3,283,264,6,1,2
-3,277,267,9,1,2
-3,271,270,12,1,2
-3,265,273,15,1,2
-3,259,276,18,1,2
-3,253,279,21,1,2
-3,247,282,24,1,2
-3,241,285,27,1,2
-3,235,288,30,1,2
-3,232,291,30,1,2
-3,229,294,30,1,2
-3,226,297,30,1,2
-3,223,300,30,1,2
-3,220,303,30,1,2
-3,217,306,30,1,2
-3,214,309,30,1,2
-3,211,312,30,1,2
-3,208,315,30,1,2
-3,205,318,30,1,2
-3,202,321,30,1,2
-3,199,324,30,1,2
-3,196,327,30,1,2
-3,193,330,30,1,2
-3,190,333,30,1,2
-3,187,336,30,1,2
-3,184,339,30,1,2
-3,181,342,30,1,2
-3,178,345,30,1,2
-3,175,348,30,1,2
-3,172,351,30,1,2
-3,169,354,30,1,2
-3,166,357,30,1,2
-3,163,360,30,1,2
-3,163,363,27,0,0
